text,tags
Sáng chủ nhật muốn bữa chay thanh,time_morning|pref_vegetarian|pref_bland
Buổi sáng lạnh cần đồ uống ấm,time_morning|weather_cold|pref_warm_drink
Sáng nay thèm bánh mì giòn,time_morning|pref_crunchy|pref_dry
Trưa rồi mà chưa ăn gì,time_noon|mood_starving|pref_instant
Buổi trưa mưa muốn món nước,time_noon|weather_rain|pref_soup
Trưa nay ăn salad chay,time_noon|pref_vegetarian|pref_low_fat
Chiều rồi thèm đồ chiên giòn,time_afternoon|pref_crunchy|pref_finger_food
Buổi chiều lạnh uống trà nóng,time_afternoon|weather_cold|pref_warm_drink
Chiều nay muốn món chay nhẹ,time_afternoon|pref_vegetarian|pref_herbal
Tối tan ca mệt cần món nóng,time_evening|mood_exhausted|pref_soup
Buổi tối muốn đồ uống có ga,time_evening|pref_fizzy|mood_happy
Tối nay nhà đông người nấu nhiều,time_evening|mood_gathering|pref_flavorful
Đêm rồi ăn nhẹ cho dễ ngủ,time_night|pref_bland|pref_soft
Buổi đêm mưa muốn cháo,time_night|weather_rain|pref_soup
Khuya tan ca cần đồ nhanh,time_night|mood_exhausted|pref_instant
Ăn vặt giữa buổi sáng,time_snacks|time_morning|pref_convenient
Muốn đồ lai rai giòn,time_snacks|pref_crunchy|pref_finger_food
Snack đêm khuya tiện lợi,time_snacks|time_night|pref_instant
Nóng quá chỉ muốn salad,weather_hot|pref_vegetarian|pref_cold
Thời tiết nóng uống nhiều nước,weather_hot|pref_herbal|pref_cold
Trời oi bức ăn nhẹ thôi,weather_hot|pref_bland|time_afternoon
Không khí lạnh thích món béo,weather_cold|pref_rich|pref_soup
Trời se lạnh buổi sáng,weather_cold|time_morning|pref_warm_drink
Lạnh mà mệt cần bổ dưỡng,weather_cold|mood_exhausted|pref_high_protein
Mưa cả ngày buồn miệng,weather_rain|mood_bored_taste|pref_spicy
Trời mưa tụ bạn lẩu,weather_rain|mood_gathering|pref_bbq_hotpot
Mưa nhẹ uống trà nóng,weather_rain|pref_tea_base|pref_warm_drink
Bão lớn không đi được,weather_storm|pref_convenient|pref_instant
Mưa bão lạnh buốt,weather_storm|weather_cold|pref_warm_drink
Bão đang hoành hành,weather_storm|weather_rain|pref_soup
Thời tiết nhẹ nhàng,weather_normal|pref_vegetarian|pref_bland
Trời đẹp muốn ra ngoài ăn,weather_normal|mood_happy|pref_raw
Hôm nay trời bình thường,weather_normal|time_noon|pref_rice
Mệt vì thiếu ngủ sáng nay,mood_exhausted|time_morning|pref_caffeine
